utc,host_monotonic_seconds,memory_used_mib,gpu_utilization_pct,compute_process_count,compute_process_memory_mib
2026-09-22T09:05:19.774899+00:00,80229.436220013,0,0,0,0
2026-09-22T09:05:20.775105+00:00,80230.436422435,0,0,0,0
2026-09-22T09:05:21.775287+00:00,80231.436608569,0,0,0,0
2026-09-22T09:05:22.775483+00:00,80232.436804406,0,0,0,0
2026-09-22T09:05:23.775752+00:00,80233.437070424,0,0,0,0
2026-09-22T09:05:24.775945+00:00,80234.437265486,0,0,0,0
2026-09-22T09:05:25.776154+00:00,80235.437474512,0,0,0,0
2026-09-22T09:05:26.776318+00:00,80236.43763741,0,0,0,0
2026-09-22T09:05:27.776522+00:00,80237.43784264,0,0,0,0
2026-09-22T09:05:28.776752+00:00,80238.438070838,0,0,0,0
2026-09-22T09:05:29.776995+00:00,80239.438315005,0,0,0,0
2026-09-22T09:05:30.777195+00:00,80240.43851532,0,0,0,0
2026-09-22T09:05:31.777374+00:00,80241.438694505,0,0,0,0
2026-09-22T09:05:32.777532+00:00,80242.438854739,0,0,0,0
2026-09-22T09:05:33.777809+00:00,80243.43912772,0,0,0,0
2026-09-22T09:05:34.778012+00:00,80244.439332223,0,0,0,0
2026-09-22T09:05:35.778259+00:00,80245.439575782,0,0,0,0
2026-09-22T09:05:36.778434+00:00,80246.439754822,0,0,0,0
2026-09-22T09:05:37.778732+00:00,80247.439995566,0,0,0,0
2026-09-22T09:05:38.778897+00:00,80248.440216379,0,0,0,0
2026-09-22T09:05:39.779133+00:00,80249.440452608,0,0,0,0
2026-09-22T09:05:40.779368+00:00,80250.440687485,0,0,0,0
2026-09-22T09:05:41.779607+00:00,80251.440925374,0,0,0,0
2026-09-22T09:05:42.779856+00:00,80252.441172361,0,0,0,0
2026-09-22T09:05:43.780145+00:00,80253.441464245,0,0,0,0
2026-09-22T09:05:44.780337+00:00,80254.441657149,0,0,0,0
2026-09-22T09:05:45.780492+00:00,80255.441813624,0,0,0,0
2026-09-22T09:05:46.780760+00:00,80256.442079683,0,0,0,0
2026-09-22T09:05:47.780944+00:00,80257.442263469,0,0,0,0
2026-09-22T09:05:48.781145+00:00,80258.442463924,0,0,0,0
2026-09-22T09:05:49.781354+00:00,80259.442671699,0,0,0,0
2026-09-22T09:05:50.781646+00:00,80260.442965289,0,0,0,0
2026-09-22T09:05:51.781816+00:00,80261.44313387,0,0,0,0
2026-09-22T09:05:52.782088+00:00,80262.443404839,559,0,1,550.0
2026-09-22T09:05:53.782299+00:00,80263.443618045,559,0,1,550.0
2026-09-22T09:05:54.782506+00:00,80264.443825694,559,0,1,550.0
2026-09-22T09:05:55.782816+00:00,80265.444135886,559,0,1,550.0
2026-09-22T09:05:56.783095+00:00,80266.444411506,559,0,1,550.0
2026-09-22T09:05:57.783346+00:00,80267.444663038,559,0,1,550.0
2026-09-22T09:05:58.783609+00:00,80268.444925457,559,0,1,550.0
2026-09-22T09:05:59.783808+00:00,80269.445128956,559,0,1,550.0
2026-09-22T09:06:00.784024+00:00,80270.445341729,559,0,1,550.0
2026-09-22T09:06:01.784283+00:00,80271.445599825,559,0,1,550.0
2026-09-22T09:06:02.784520+00:00,80272.445837188,559,0,1,550.0
2026-09-22T09:06:03.784822+00:00,80273.446139394,559,0,1,550.0
2026-09-22T09:06:04.785073+00:00,80274.446390635,559,0,1,550.0
2026-09-22T09:06:05.785284+00:00,80275.446603861,559,0,1,550.0
2026-09-22T09:06:06.785525+00:00,80276.446842421,559,0,1,550.0
2026-09-22T09:06:07.785814+00:00,80277.447131534,559,0,1,550.0
2026-09-22T09:06:08.785990+00:00,80278.447311386,559,0,1,550.0
2026-09-22T09:06:09.786200+00:00,80279.447517434,559,0,1,550.0
2026-09-22T09:06:10.786527+00:00,80280.447843772,559,0,1,550.0
2026-09-22T09:06:11.786786+00:00,80281.448106466,559,0,1,550.0
2026-09-22T09:06:12.787049+00:00,80282.448365581,559,0,1,550.0
2026-09-22T09:06:13.787259+00:00,80283.448579538,559,0,1,550.0
2026-09-22T09:06:14.787463+00:00,80284.448781838,559,0,1,550.0
2026-09-22T09:06:15.787640+00:00,80285.448961367,559,0,1,550.0
